STRUCTURE_NUMBER_008,county,location,intersects,carries,yr_built,bridge_condition,avg_daily_traffic,owner,responsibility,lat,long,total_improve_cost_thousands,vehicles,current_status,photo_url,link,photo_credit
200000H-0017010,Harford County,0.6 MILES S OF MD 156,SWAN CREEK,WEST CHAPEL ROAD,1930,Poor,330,County Highway Agency,County Highway Agency,39.55937576,-76.18042755,86,330 vehicles,Scheduled for construction in 2020,http://www.trbimg.com/img-5bae6f70/turbine/bal-w-chapel-road-over-swan-creek-bridge-20180928/600,,Google Maps
200000H-0040010,Harford County,0.6 MILES NW OF MD 543,STOUT BOTTLE BRANCH,CHESTNUT HILL ROAD,1900,Poor,630,County Highway Agency,County Highway Agency,39.60499954,-76.34833527,66,630 vehicles,Scheduled for construction in 2019,http://www.trbimg.com/img-5bae6fec/turbine/bal-chestnut-hill-road-over-stout-bottle-branch-bridge-20180928/600,,Google Maps
200000H-0067010,Harford County,1.5 MILES N OF MD 152,WINTERS RUN,PLEASANTVILLE ROAD,1958,Poor,3000,County Highway Agency,County Highway Agency,39.54999924,-76.4366684,393,3000 vehicles,Receiving routine maintenance and monitoring,http://www.trbimg.com/img-5bae706d/turbine/bal-pleasantville-road-over-winters-run-bridge-20180928/600,,Google Maps
200000H-0103010,Harford County,1.5 MILES NE OF MD 23,TRIB / LITTLE DEER CREEK,TROYER ROAD,1940,Poor,300,County Highway Agency,County Highway Agency,39.63333511,-76.52666473,169,300 vehicles,Scheduled for construction in 2020,http://www.trbimg.com/img-5bae70d1/turbine/bal-troyer-road-bridge-20180928/600,,Google Maps
200000H-0122010,Harford County,0.05 M W OF LONG CORNER R,TRIB / DEER CREEK,GREEN ROAD,1955,Poor,140,County Highway Agency,County Highway Agency,39.69166565,-76.55666351,NA,140 vehicles,Under construction,http://www.trbimg.com/img-5bae7146/turbine/bal-green-road-bridge-20180928/600,,Google Maps
200000H-0154010,Harford County,0.5 MILES E OF MD 136,BROAD CREEK,ROBINSON MILL ROAD,1965,Poor,70,County Highway Agency,County Highway Agency,39.68000031,-76.28166962,NA,70 vehicles,Under construction,http://www.trbimg.com/img-5bae71bf/turbine/bal-robinson-mill-road-bridge-20180928/600,,Google Maps
200000H-0160010,Harford County,0.7 MI E TRAPPE CHURCH RD,DEER CREEK,NOBLES MILL ROAD,1890,Poor,70,County Highway Agency,County Highway Agency,39.61766815,-76.23752594,2475,70 vehicles,Receiving routine maintenance and monitoring,https://www.harfordcountymd.gov/ImageRepository/Document?documentID=1443,https://www.harfordcountymd.gov/667/Bridge-Facts,Harford County Bureau of Engineering
200000H-0161010,Harford County,1.1 MILES SW OF MD 161,HOLLANDS BRANCH,TRAPPE CHURCH ROAD,1952,Poor,580,County Highway Agency,County Highway Agency,39.63000107,-76.22333527,770,580 vehicles,Receiving routine maintenance and monitoring,http://www.trbimg.com/img-5bae7236/turbine/bal-trappe-church-road-bridge-20180928/600,,Google Maps
200000H-0216030,Harford County,1.7 MILES N OF MD 152,BEAR CABIN BRANCH,CARRS MILL ROAD,1950,Poor,7500,County Highway Agency,County Highway Agency,39.53833389,-76.39499664,NA,7500 vehicles,Under construction,http://www.trbimg.com/img-5af49221/turbine/bs-1525977629-3fjgpprmj5-snap-image/900/900x506,http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-carrs-mill-bridge-open-brief-20180510-story.html,Matt Button / The Aegis
200000H-0217030,Harford County,1.1 MILES N OF MD 136,DEEP CREEK,PROSPECT ROAD,1950,Poor,510,County Highway Agency,County Highway Agency,39.70606995,-76.29911804,495,510 vehicles,Scheduled for construction in 2019,http://www.trbimg.com/img-5bae7289/turbine/bal-prospect-road-bridge-20180928/600,,Google Maps
200000HO0023010,Howard County,0.4 MI W MT ALBERT RD,BENSON BRANCH,CARROLL MILL ROAD,1960,Poor,1346,County Highway Agency,County Highway Agency,39.26965556,-76.93292778,NA,1346 vehicles,n/a,http://www.trbimg.com/img-5bae730a/turbine/bal-carroll-mill-road-bridge-20180928/600,,Google Maps
200000HO0038010,Howard County,0.3 MI N JENNINGS CHAPEL,LITTLE CATTAIL CREEK,DAISY ROAD,1935,Poor,811,County Highway Agency,County Highway Agency,39.2761,-77.07248056,0,811 vehicles,n/a,http://www.trbimg.com/img-5bae737f/turbine/bal-daisy-road-bridge-20180928/600,,Google Maps
200000HO0041010,Howard County,0.5 MI N UNION CHAPEL RD,CATTAIL CREEK,DAISY ROAD,1940,Poor,1047,County Highway Agency,County Highway Agency,39.29953333,-77.06418889,667,1047 vehicles,n/a,http://www.trbimg.com/img-5bae73e1/turbine/bal-daisy-road-bridge-2-20180928/600,,Google Maps
200000HO0105010,Howard County,1.24 MI N OF MD RTE 99,PATAPSCO RIVER TRIB,HENRYTON ROAD,1925,Poor,1180,County Highway Agency,County Highway Agency,39.33721667,-76.924025,0,1180 vehicles,n/a,http://www.trbimg.com/img-5bae744a/turbine/bal-henryton-road-bridge-20180928/600,,Google Maps
