lat,long,STRUCTURE_NUMBER_008,county,location,intersects,carries,yr_built,bridge_condition,avg_daily_traffic,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
39.20166779,-76.69166565,100000020016010,Anne Arundel County,0.84 MI S OF HOWARD CO,MD 295 NBR,MD 295 SB RAMP B,1990,Good,10897,NA,08,15,State Highway Agency,State Highway Agency,10897 vehicles
39.20000076,-76.70555878,100000020018011,Anne Arundel County,0.14 MI S OF IS 195,AMTRAK  STONY RUN,MD 295 NBR,1950,Fair,88882,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
39.20000076,-76.70555878,100000020018012,Anne Arundel County,0.14 MI S OF IS 195,AMTRAK  STONY RUN,MD 295 SB,1950,Fair,88882,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
39.1976055555556,-76.7026,100000020019010,Anne Arundel County,2.94 MI N OF MD 176,MD 295 NBR,RIDGE ROAD,1950,Fair,1100,NA,03,16,State Highway Agency,State Highway Agency,1100 vehicles
39.1866684,-76.71666718,100000020020041,Anne Arundel County,0.43 M N OF BR NO 0202100,HANOVER ROAD,MD 295 NBR,1950,Fair,42696,NA,05,15,State Highway Agency,State Highway Agency,42696 vehicles
39.1866684,-76.71666718,100000020020042,Anne Arundel County,0.43 M N OF BR NO 0202100,HANOVER ROAD,MD 295 SBR,1950,Fair,42696,NA,05,15,State Highway Agency,State Highway Agency,42696 vehicles
39.18000031,-76.72166443,100000020021020,Anne Arundel County,0.43 M S OF BR NO 0202000,PINEY RUN,MD 295,1950,Fair,88882,NA,04,16,State Highway Agency,State Highway Agency,88882 vehicles
39.1400055555556,-76.75534722222223,100000020023010,Anne Arundel County,1.15 MI N OF MD 713,MD 295,MD 175,1952,Fair,19272,NA,05,16,State Highway Agency,State Highway Agency,19272 vehicles
39.1883316,-76.68499756,100000020025010,Anne Arundel County,1.07 MI S OF MD 295,MD 170,IS 195,1998,Good,56601,NA,08,16,State Highway Agency,State Highway Agency,56601 vehicles
38.95666504,-76.68000031,100000020027010,Anne Arundel County,0.80 MI E OF PG CO LINE,PATUXENT RIVER ROAD,IS 595,1950,Fair,81102,NA,09,16,State Highway Agency,State Highway Agency,81102 vehicles
38.96166611,-76.65499878,100000020028011,Anne Arundel County,0.81 MI N OF MD 909,IS 595,MD 424,1994,Good,13992,NA,05,15,State Highway Agency,State Highway Agency,13992 vehicles
38.96166611,-76.65499878,100000020028012,Anne Arundel County,0.81 MI N OF MD 909,IS 595,MD 424,1994,Good,13992,NA,05,15,State Highway Agency,State Highway Agency,13992 vehicles
38.97499847,-76.6333313,100000020029010,Anne Arundel County,@ RUTLAND RD,RUTLAND ROAD,IS 595,1950,Good,101670,NA,07,16,State Highway Agency,State Highway Agency,101670 vehicles
38.98166656,-76.60500336,100000020030010,Anne Arundel County,0.94 M W OF BR NO 0203100,SOUTH RIVER,IS 595,1950,Good,101670,NA,03,15,State Highway Agency,State Highway Agency,101670 vehicles
38.98333359,-76.58833313,100000020031010,Anne Arundel County,0.73 MI W OF IS 97,SOUTH HAVEN ROAD,IS 595,1950,Fair,101670,NA,01,16,State Highway Agency,State Highway Agency,101670 vehicles
38.98500061,-76.54333496,100000020032010,Anne Arundel County,0.61 MI W OF MD 2,MD 450,IS 595,1991,Good,106360,NA,12,16,State Highway Agency,State Highway Agency,106360 vehicles
38.98666763,-76.53333282,100000020033010,Anne Arundel County,0.45 MILE EAST OF MD 450,MD 2 RAMP A (9),IS 595,1991,Good,123940,NA,04,16,State Highway Agency,State Highway Agency,123940 vehicles
38.99000168,-76.52500153,100000020034010,Anne Arundel County,0.39 MILE EAST OF MD 2,ADMIRAL DRIVE,IS 595,1953,Fair,123940,NA,03,15,State Highway Agency,State Highway Agency,123940 vehicles
38.99000168,-76.52500153,100000020035010,Anne Arundel County,0.67 MI W OF MD 70,WEEMS CREEK,IS 595,1953,Fair,123940,NA,02,15,State Highway Agency,State Highway Agency,123940 vehicles
38.99499893,-76.51333618,100000020036010,Anne Arundel County,0.11 MI W OF MD 436,MD 70,IS 595,1991,Fair,111323,NA,03,16,State Highway Agency,State Highway Agency,111323 vehicles
38.9952361111111,-76.51245555555556,100000020037010,Anne Arundel County,0.1 MI N OF MD 783,IS 595  RAMPS B & C,MD 436,1991,Good,5110,NA,12,15,State Highway Agency,State Highway Agency,5110 vehicles
39.00666809,-76.50333405,100000020038010,Anne Arundel County,0.85 M W OF BR NO 0203900,SEVERN RIVER,US 50,1953,Fair,124193,16264,04,16,State Highway Agency,State Highway Agency,124193 vehicles
39.01944351,-76.5027771,100000020039010,Anne Arundel County,0.07 MILE WEST OF MD 2,BOULTERS WAY,US 50/301,1953,Fair,121160,950,04,15,State Highway Agency,State Highway Agency,121160 vehicles
38.99166489,-76.5083313,100000020042010,Anne Arundel County,0.37 MI S OF IS 595,WEEMS CREEK & KIRKLEY RD,MD 70,2006,Good,38762,NA,04,15,State Highway Agency,State Highway Agency,38762 vehicles
38.98333359,-76.49833679,100000020043010,Anne Arundel County,0.42 MI S OF MD 435,COLLEGE CREEK,MD 70,1954,Fair,38762,NA,06,15,State Highway Agency,State Highway Agency,38762 vehicles
39.10333252,-76.69333649,100000020044010,Anne Arundel County,1.2 MILE NORTH OF MD 175,SEVERN RUN,MD 170,1936,Fair,21621,NA,07,16,State Highway Agency,State Highway Agency,21621 vehicles
39.16333389,-76.52500153,100000020045010,Anne Arundel County,0.16 MILE SOUTH OF MD 642,STONEY CREEK,MD 173,1947,Fair,18598,2494,12,15,State Highway Agency,State Highway Agency,18598 vehicles
39.13833237,-76.52333069,100000020046010,Anne Arundel County,0.68 MILE NORTH OF MD 607,ROCK CREEK,MD 173,1932,Fair,9150,85,11,15,State Highway Agency,State Highway Agency,9150 vehicles
39.18333435,-76.69166565,100000020047020,Anne Arundel County,0.3 MILE NORTH OF MD 995,KITTEN BRANCH,MD 170,1947,Fair,42631,NA,11,15,State Highway Agency,State Highway Agency,42631 vehicles
39.0897444444444,-76.705175,100000020048010,Anne Arundel County,0.37 MILE NORTH OF MD 170,AMTRAK,MD 175,1938,Fair,22022,799,06,15,State Highway Agency,State Highway Agency,22022 vehicles
39.1776111111111,-76.74460555555555,100000020049010,Anne Arundel County,0.16 MI S OF HOWARD CO,BRANCH OF DEEP RUN,MD 103,1949,Fair,8191,NA,01,17,State Highway Agency,State Highway Agency,8191 vehicles
39.1668527777778,-76.72356666666667,100000020050010,Anne Arundel County,0.47 MI E OF MD 295,PINEY RUN,MD 176,1949,Fair,2452,95,11,15,State Highway Agency,State Highway Agency,2452 vehicles
39.16388702,-76.70555878,100000020051010,Anne Arundel County,0.08 M W OF BR NO 0216700,AMTRAK,MD 176,1936,Fair,13400,289,03,15,State Highway Agency,State Highway Agency,13400 vehicles
39.0146611111111,-76.4718,100000020052010,Anne Arundel County,1.01 MI N OF MD 648A,MILL CREEK,MD 179,1920,Fair,3682,240,07,16,State Highway Agency,State Highway Agency,3682 vehicles
38.9726694444444,-76.48550277777778,100000020053010,Anne Arundel County,ANNAPOLIS MD.,SPA CREEK,MD 181(SIXTH ST),1946,Fair,19251,2153,02,16,State Highway Agency,State Highway Agency,19251 vehicles
39.2248611111111,-76.64152222222222,100000020056010,Anne Arundel County,ON BALTIMORE COUNTY LINE,PATAPSCO RIVER,MD 648E,1992,Good,12630,NA,08,15,State Highway Agency,State Highway Agency,12630 vehicles
39.206425,-76.641675,100000020057010,Anne Arundel County,0.17 MILE NORTH OF MD 169,IS 695,MD 648E,1989,Good,16400,NA,08,16,State Highway Agency,State Highway Agency,16400 vehicles
39.19666672,-76.63166809,100000020058010,Anne Arundel County,0.37 MILE SOUTH OF IS 695,FURNACE BRANCH ROAD,IS 97,1955,Fair,18621,NA,03,16,State Highway Agency,State Highway Agency,18621 vehicles
39.185231,-76.6323,100000020059010,Anne Arundel County,AT IS 97,IS 97,WELLHAM ROAD,1994,Good,8400,NA,10,16,State Highway Agency,State Highway Agency,8400 vehicles
39.17499924,-76.63666534,100000020060010,Anne Arundel County,0.78 MILE NORTH OF MD 176,MD 648E  MTA LIGHT RAIL,IS 97,1955,Fair,103350,NA,03,17,State Highway Agency,State Highway Agency,103350 vehicles
39.16500092,-76.64167023,100000020061010,Anne Arundel County,0.78 MI S OF MD 648E,MD 176 (DORSEY ROAD),IS 97,1955,Fair,105110,NA,01,16,State Highway Agency,State Highway Agency,105110 vehicles
39.160811,-76.644358,100000020062010,Anne Arundel County,0.4 MI S OF MD 176,IS 97,STEWART AVENUE,1991,Good,6220,NA,06,16,State Highway Agency,State Highway Agency,6220 vehicles
39.144761,-76.644586,100000020063010,Anne Arundel County,0.24 MI W OF MD 779,IS 97,MD 174,2004,Good,8580,NA,12,16,State Highway Agency,State Highway Agency,8580 vehicles
39.1831333333333,-76.61441944444445,100000020064030,Anne Arundel County,0.06 MILE NORTH OF MD 270,SAWMILL CREEK,MD 3 BU,1980,Fair,17610,NA,05,16,State Highway Agency,State Highway Agency,17610 vehicles
39.12666702,-76.64167023,100000020065011,Anne Arundel County,1.19 MILE SOUTH OF MD 174,MD 3 BUS,IS 97 NBR,1990,Good,135900,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
39.12666702,-76.64167023,100000020065012,Anne Arundel County,1.19 MILE SOUTH OF MD 174,MD 3 BUS,IS 97 SBR,1990,Good,135900,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
39.08166504,-76.62666321,100000020066010,Anne Arundel County,0.76 MI N OF MD 178A,SEVERN RUN,VETERNS HIGHWAY,1933,Fair,8680,NA,05,15,State Highway Agency,State Highway Agency,8680 vehicles
38.748175,-76.55730833333334,100000020068010,Anne Arundel County,2.44 MILE EAST OF MD 2,BRANCH OF HERRING BAY,MD 423,1989,Fair,1262,NA,11,15,State Highway Agency,State Highway Agency,1262 vehicles
38.99333191,-76.48833466,100000020070010,Anne Arundel County,0.31 MI W OF MD 648A,SEVERN RIVER,MD 450,1995,Fair,17920,NA,01,16,State Highway Agency,State Highway Agency,17920 vehicles
38.98500061,-76.49500275,100000020071010,Anne Arundel County,0.3 MILE WEST OF MD 435,COLLEGE CREEK,MD 450,1987,Good,10920,1374,03,16,State Highway Agency,State Highway Agency,10920 vehicles
38.9862611111111,-76.60876944444445,100000020072010,Anne Arundel County,0.89 MI E OF RUTLAND RD,BACON RIDGE BRANCH,MD 450,2008,Good,7520,NA,01,15,State Highway Agency,State Highway Agency,7520 vehicles
38.9871222222222,-76.62270555555556,100000020073030,Anne Arundel County,2.89 MILE EAST OF MD 424,NORTH RIVER,MD 450,1989,Fair,6270,NA,11,16,State Highway Agency,State Highway Agency,6270 vehicles
39.1548527777778,-76.59850833333333,100000020074010,Anne Arundel County,0.11 MI S OF MD 270,MARLEY CREEK,MD 648E,1976,Fair,16790,NA,12,15,State Highway Agency,State Highway Agency,16790 vehicles
39.1344833333333,-76.6973111111111,100000020075010,Anne Arundel County,0.71 MILE SOUTH OF MD 170,AMTRAK,MD 174,1931,Fair,17142,162,11,15,State Highway Agency,State Highway Agency,17142 vehicles
39.08166504,-76.61833191,100000020076011,Anne Arundel County,0.81 MILE NORTH OF MD 3,SEVERN RUN,IS 97 NBR,1991,Fair,102300,NA,11,15,State Highway Agency,State Highway Agency,102300 vehicles
39.08166504,-76.62666321,100000020076012,Anne Arundel County,0.81 MILE NORTH OF MD 3,SEVERN RUN,IS 97 SBR,1991,Fair,102300,NA,09,15,State Highway Agency,State Highway Agency,102300 vehicles
39.23025,-76.66470277777778,100000020077010,Anne Arundel County,ON AA CO/ BALTO CO LINE,PATAPSCO RIVER,HAMMONDS FERRY RD,1961,Fair,8800,778,05,16,State Highway Agency,State Highway Agency,8800 vehicles
38.7904333333333,-76.66793611111112,100000020078010,Anne Arundel County,0.08 MILE WEST OF MD 794,MD 4,MD 258,1961,Fair,7962,NA,08,15,State Highway Agency,State Highway Agency,7962 vehicles
38.79345,-76.55841944444444,100000020079010,Anne Arundel County,0.62 MILE WEST OF MD 256,ROCKHOLD CREEK,MD 258,1963,Fair,8882,NA,04,15,State Highway Agency,State Highway Agency,8882 vehicles
39.13333511,-76.59500122,100000020080010,Anne Arundel County,0.16 MILE EAST OF MD 2,MD 100 EBR,MD 100 RAMP,1963,Fair,21300,NA,03,16,State Highway Agency,State Highway Agency,21300 vehicles
38.9924777777778,-76.50754444444445,100000020081010,Anne Arundel County,0.35 MILE SOUTH OF IS 595,WEEMS CREEK,MD 436,1997,Fair,5110,NA,03,15,State Highway Agency,State Highway Agency,5110 vehicles
39.13499832,-76.59833527,100000020082013,Anne Arundel County,0.16 W OF BR NO 0208000,MD 2,MD 100 EBR,1963,Fair,12651,838,03,15,State Highway Agency,State Highway Agency,12651 vehicles
39.13499832,-76.59833527,100000020082014,Anne Arundel County,0.16 W OF BR NO 0208000,MD 2,MD 100 WBR,1963,Fair,12651,806,03,15,State Highway Agency,State Highway Agency,12651 vehicles
39.15166855,-76.63666534,100000020083013,Anne Arundel County,0.59 MILE NORTH OF IS 97,MD 174,MD 100 EBR,1963,Fair,75406,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
39.15166855,-76.63666534,100000020083014,Anne Arundel County,0.59 MILE NORTH OF IS 97,MD 174,MD 100 WBR,1963,Fair,75406,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
39.14333344,-76.63166809,100000020084013,Anne Arundel County,0.54 MILE EAST OF MD 174,MD 3 BUS,MD 100 EBR,1963,Fair,75406,980,08,16,State Highway Agency,State Highway Agency,75406 vehicles
39.14333344,-76.63166809,100000020084014,Anne Arundel County,0.54 MILE EAST OF MD 174,MD 3 BUS,MD 100 EBR,1963,Fair,75406,491,08,16,State Highway Agency,State Highway Agency,75406 vehicles
39.13999939,-76.62000275,100000020085013,Anne Arundel County,0.82 MILE EAST OF MD 3BU,OAKWOOD ROAD,MD 100 EBR,1963,Fair,35961,590,08,16,State Highway Agency,State Highway Agency,35961 vehicles
39.13999939,-76.62000275,100000020085014,Anne Arundel County,0.82 MILE EAST OF MD 3BU,OAKWOOD ROAD,MD 100 WBR,1963,Fair,35961,608,08,16,State Highway Agency,State Highway Agency,35961 vehicles
39.13833237,-76.61166382,100000020086020,Anne Arundel County,0.79 MILE WEST OF MD 2,MARLEY CREEK,MD 100,1964,Good,73112,NA,07,15,State Highway Agency,State Highway Agency,73112 vehicles
38.7911,-76.57938333333334,100000020087020,Anne Arundel County,1.07 MILE EAST OF MD 2,TRACYS CREEK,MD 258,1963,Good,8882,NA,07,15,State Highway Agency,State Highway Agency,8882 vehicles
39.20999908,-76.65000153,100000020089010,Anne Arundel County,0.04 MI N OF MD 170,MTA LIGHT RAIL,IS 695 RAMP G,1967,Fair,2770,703,08,16,State Highway Agency,State Highway Agency,2770 vehicles
39.20999908,-76.65000153,100000020090010,Anne Arundel County,0.04 MI N OF MD 170,MTA LIGHT RAIL,IS 695 RAMP L,1967,Fair,66659,NA,07,15,State Highway Agency,State Highway Agency,66659 vehicles
39.20999908,-76.64833069,100000020092015,Anne Arundel County,0.48 MI N OF MD 648E,MD 170   MTA LIGHT RAIL,IS 695 IL,1967,Fair,74085,1477,09,16,State Highway Agency,State Highway Agency,74085 vehicles
39.20999908,-76.64833069,100000020092016,Anne Arundel County,0.48 MI N OF MD 648E,MD 170   MTA LIGHT RAIL,IS 695 OL,1967,Fair,74085,1477,10,16,State Highway Agency,State Highway Agency,74085 vehicles
39.20666504,-76.61499786,100000020093010,Anne Arundel County,0.12 MILE NORTH OF MD 711,MD 695,MD 2,1968,Fair,40541,NA,06,16,State Highway Agency,State Highway Agency,40541 vehicles
39.2054166666667,-76.61235,100000020094020,Anne Arundel County,MD 2/MD 695 INTERCHANGE,CABIN BRANCH,MD 695 RAMP B(3),1968,Fair,34550,NA,11,15,State Highway Agency,State Highway Agency,34550 vehicles
39.20500183,-76.61499786,100000020095020,Anne Arundel County,0.03 MI N OF MD 711,CABIN BRANCH,MD 2,1968,Fair,46601,NA,12,15,State Highway Agency,State Highway Agency,46601 vehicles
39.065,-76.643333,100000020096010,Anne Arundel County,0.35 MILE NORTH OF IS 97,MD 3 SBR,MD 32 WBR,1970,Fair,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.065,-76.643333,100000020097010,Anne Arundel County,0.26 MILE NORTH OF IS 97,MD 3 NBR,MD 32 WBR,1970,Fair,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.1195361111111,-76.53284444444445,100000020098010,Anne Arundel County,@ MD 100,MD 100,EDWIN RAYNOR ROAD,1969,Fair,19710,585,01,17,State Highway Agency,State Highway Agency,19710 vehicles
39.22333145,-76.65833282,100000020099010,Anne Arundel County,0.38 MILE SOUTH OF MD 168,MD 295 SBR,IS 695,1951,Fair,128182,158,03,16,State Highway Agency,State Highway Agency,128182 vehicles
39.01333237,-76.49333191,100000020100010,Anne Arundel County,0.4 MILE SOUTH OF MD 648F,US 50/301 & MD 450,MD 2,1953,Fair,46541,1866,09,16,State Highway Agency,State Highway Agency,46541 vehicles
39.01333237,-76.49333191,100000020101010,Anne Arundel County,1.66 M E OF IS 595,MD 2/MD 450,US 50,1953,Fair,95083,NA,02,16,State Highway Agency,State Highway Agency,95083 vehicles
39.12166595,-76.78666687,100000020102020,Anne Arundel County,0.47 MILE NORTH OF MD 295,DORSEY RUN,MD 32,1984,Good,65902,NA,06,16,State Highway Agency,State Highway Agency,65902 vehicles
39.13166809,-76.58666992,100000020103013,Anne Arundel County,0.67 MILE EAST OF MD 2,JUMPERS HOLE ROAD,MD 100 EBR,1971,Fair,26792,NA,06,16,State Highway Agency,State Highway Agency,26792 vehicles
39.13166809,-76.58666992,100000020103014,Anne Arundel County,0.67 MILE EAST OF MD 2,JUMPERS HOLE ROAD,MD 100 WBR,1971,Fair,26792,308,06,16,State Highway Agency,State Highway Agency,26792 vehicles
39.1208277777778,-76.56143333333333,100000020104010,Anne Arundel County,0.72 MILE SOUTH OF MD 177,MD 100 EBR,MD 648H,1971,Fair,5802,429,12,16,State Highway Agency,State Highway Agency,5802 vehicles
39.1214166666667,-76.56155277777778,100000020105010,Anne Arundel County,0.68 MILE SOUTH OF MD 177,MD 100 WBR,MD 648H,1971,Fair,5802,429,09,16,State Highway Agency,State Highway Agency,5802 vehicles
39.1211583333333,-76.54824166666667,100000020106010,Anne Arundel County,1.35 MI N OF MD 10,MD 100,CATHERINE AVENUE,1971,Good,19680,NA,07,16,State Highway Agency,State Highway Agency,19680 vehicles
39.1926222222222,-76.60541111111111,100000020107020,Anne Arundel County,N OF MD 270,BR OF FURNACE CREEK,MD 10 RAMPS 5 & 6,1972,Fair,8100,NA,07,15,State Highway Agency,State Highway Agency,8100 vehicles
39.1945861111111,-76.60266111111112,100000020108020,Anne Arundel County,.056 MILE NORTH OF MD 710,BACK CREEK,MD 10 & RAMPS 2  5,1972,Fair,48600,NA,05,16,State Highway Agency,State Highway Agency,48600 vehicles
39.1821527777778,-76.60469722222223,100000020109011,Anne Arundel County,0.38 MI N OF MD 270,FURNACE CREEK,MD 10 NBR,1973,Fair,47240,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
39.1825611111111,-76.60496111111111,100000020109012,Anne Arundel County,0.38 MI N OF MD 270,FURNACE CREEK,MD 10 SBR,1973,Fair,47240,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
39.1862333333333,-76.60468055555556,100000020110010,Anne Arundel County,AT MD 10,MD 10,DOVER ROAD,1974,Fair,2465,1071,06,15,State Highway Agency,State Highway Agency,2465 vehicles
39.0165138888889,-76.40989166666667,100000020111010,Anne Arundel County,0.24 MI S OF OCEANIC DR,US 50/US 301,MD 908D,1974,Good,1911,NA,12,16,State Highway Agency,State Highway Agency,1911 vehicles
39.1937944444444,-76.60348611111111,100000020112010,Anne Arundel County,0.56 MI N OF MD 2,MD 10,MD 710,1973,Fair,32670,NA,12,15,State Highway Agency,State Highway Agency,32670 vehicles
39.1937972222222,-76.60389722222222,100000020113020,Anne Arundel County,0.46 MI E OF MD 2,BRANCH OF FURANCE CREEK,MD 710,1973,Fair,22351,NA,11,16,State Highway Agency,State Highway Agency,22351 vehicles
39.1956527777778,-76.59763333333333,100000020114020,Anne Arundel County,0.34 MI N OF MD 10,BRANCH OF FURNACE CREEK,MD 710,1973,Fair,13471,NA,07,15,State Highway Agency,State Highway Agency,13471 vehicles
39.1682166666667,-76.60855833333333,100000020115010,Anne Arundel County,0.79 MI N OF MD 648E,MD 10,N THOMPSON AVENUE,1975,Fair,32100,NA,05,15,State Highway Agency,State Highway Agency,32100 vehicles
39.1574555555556,-76.60319166666666,100000020116010,Anne Arundel County,0.22 MI N OF MD 270,MD 10,MD 648E,1976,Fair,10890,NA,06,15,State Highway Agency,State Highway Agency,10890 vehicles
39.20277786,-76.625,100000020118010,Anne Arundel County,0.55 MILE SOUTH OF MD 695,MD 2,IS 895B RAMP,1958,Fair,21141,1053,05,16,State Highway Agency,State Highway Agency,21141 vehicles
39.2028166666667,-76.62170833333333,100000020119020,Anne Arundel County,0.42 MILE WEST OF MD 2,CABIN BRANCH,CEDAR AVENUE,1957,Fair,2000,NA,02,17,State Highway Agency,State Highway Agency,2000 vehicles
39.20500183,-76.62166595,100000020120020,Anne Arundel County,0.40 MI S OF MD 695,CABIN BRANCH,IS 895B,1957,Fair,21141,NA,02,17,State Highway Agency,State Highway Agency,21141 vehicles
39.202822,-76.631183,100000020121010,Anne Arundel County,0.5 MI N OF MD 2,IS 895B,MD 695,1957,Fair,92102,NA,07,15,State Highway Agency,State Highway Agency,92102 vehicles
39.1768138888889,-76.60578055555555,100000020122010,Anne Arundel County,0.52 MI S OF MD 2,MD 10,MD 270,1977,Fair,16262,NA,03,16,State Highway Agency,State Highway Agency,16262 vehicles
39.1765777777778,-76.6057388888889,100000020123020,Anne Arundel County,0.08 MI S OF MD 10,BRANCH OF FURNACE CREEK,MD 270 & RAMP 2,1975,Good,8562,NA,07,15,State Highway Agency,State Highway Agency,8562 vehicles
38.7781777777778,-76.56249722222222,100000020126010,Anne Arundel County,1.73 MI W OF MD 258,TRACEYS CREEK,MD 256,1975,Fair,2762,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
38.7825527777778,-76.559575,100000020127010,Anne Arundel County,0.94 MI W OF MD 258,ROCKHOLD CREEK,MD 256,1980,Fair,2762,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
39.1449333333333,-76.60658055555555,100000020128010,Anne Arundel County,1.48 MI S OF MD 648E,BRANCH OF MARLEY CREEK,MD 2,1936,Fair,23961,NA,07,15,State Highway Agency,State Highway Agency,23961 vehicles
39.20000076,-76.69499969,100000020130013,Anne Arundel County,1.09 MI E OF MD 170,MD 295,IS 195 EBR,1990,Good,39015,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
39.20000076,-76.69499969,100000020130014,Anne Arundel County,1.09 MI E OF MD 170,MD 295,IS 195 WBR,1990,Good,39015,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
39.19666672,-76.69166565,100000020131013,Anne Arundel County,0.83 MILE NORTH OF MD 170,MD 295 SBR RAMP B,IS 195 EBR,1990,Fair,56601,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
39.19666672,-76.69166565,100000020131014,Anne Arundel County,0.86 MI E OF MD 170,MD 295 SBR RAMP B,IS 195 WBR,1990,Fair,56601,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
39.19833374,-76.69833374,100000020132010,Anne Arundel County,0.14 MI S OF IS 195,AMTRAK  STONY RUN,IS 195 RAMP A,1990,Good,3623,NA,03,17,State Highway Agency,State Highway Agency,3623 vehicles
39.1866684,-76.69833374,100000020133010,Anne Arundel County,0.14 MI S OF IS 195,AMTRAK  STONY RUN,IS 195 RAMP D,1990,Good,5973,NA,03,17,State Highway Agency,State Highway Agency,5973 vehicles
39.203067,-76.631083,100000020134010,Anne Arundel County,0.31 M N OF BALTO CITY,IS 97,IS 695 RAMP F,1989,Fair,14460,NA,11,15,State Highway Agency,State Highway Agency,14460 vehicles
39.200861,-76.631539,100000020136010,Anne Arundel County,0.28 MI S OF IS 895,IS 97,IS 97 RAMP W,1989,Fair,84179,NA,11,15,State Highway Agency,State Highway Agency,84179 vehicles
39.1903444444444,-76.656525,100000020137030,Anne Arundel County,0.31 MILE SOUTH OF MD 170,CABIN BRANCH CREEK,MD 162,1970,Fair,19020,NA,02,17,State Highway Agency,State Highway Agency,19020 vehicles
39.22166824,-76.66166687,100000020138020,Anne Arundel County,636 FT E OF NURSERY ROAD,TRIB TO PATAPSCO RIVER,IS 695,1951,Fair,128182,NA,05,16,State Highway Agency,State Highway Agency,128182 vehicles
39.12166595,-76.63999939,100000020139010,Anne Arundel County,IS 97 INTER W/NEW CUT RD,VETERANS HIGHWAY,IS 97 RAMP F,1989,Fair,10999,NA,09,15,State Highway Agency,State Highway Agency,10999 vehicles
